Velocity (m/s),Radial Location (m)
0.00000,-0.100
0.77266,-0.095
0.86422,-0.090
0.92273,-0.085
0.96663,-0.080
1.00211,-0.075
1.03207,-0.070
1.05810,-0.065
1.08117,-0.060
1.10194,-0.055
1.12086,-0.050
1.13826,-0.045
1.15437,-0.040
1.16940,-0.035
1.18348,-0.030
1.19675,-0.025
1.20929,-0.020
1.22119,-0.015
1.23252,-0.010
1.24334,-0.005
1.25368,0.000
1.24334,0.005
1.23252,0.010
1.22119,0.015
1.20929,0.020
1.19675,0.025
1.18348,0.030
1.16940,0.035
1.15437,0.040
1.13826,0.045
1.12086,0.050
1.10194,0.055
1.08117,0.060
1.05810,0.065
1.03207,0.070
1.00211,0.075
0.96663,0.080
0.92273,0.085
0.86422,0.090
0.77266,0.095
0.00000,0.100
